t,pose,hand_l,hand_r,v_wrist_l,v_wrist_r,v_index_l,v_index_r,v_avg
9.2,True,False,True,0.22363616316436222,0.11793549743506354,0.0,0.0,0.1707858302997129
9.3,True,True,True,0.039452613599342816,0.08419146433320475,0.0,0.131394712637572,0.08501293019003986
9.4,True,True,True,0.033810138368768804,0.03596959215887185,0.05349079609250353,0.056092545688624804,0.04484076807719225
9.5,True,True,True,0.03183667987869454,0.017482697710536448,0.023315878767850087,0.07709301810119681,0.03743206861456947
9.6,True,True,True,0.0253285438484392,0.0075666304854001614,0.10453109714920793,0.020148053431586207,0.039393581228658374
9.7,True,True,True,0.028509171564826578,0.0292646309199062,0.09831083134461571,0.04497957291064625,0.05026605168499868
9.8,True,True,True,0.027287228120743,0.019679454666353766,0.08920676338328276,0.028501752859747903,0.041168799757531856
9.9,True,True,True,0.020502194755379764,0.0028087252327500907,0.02207760002213091,0.019883987938421593,0.01631812698717059
10.0,True,True,True,0.028502759179107797,0.007788789450794962,0.033017767360839154,0.01920682058558324,0.022129034144081287
10.1,True,True,True,0.0028173753970249034,0.0067396581059503535,0.02291019537060964,0.015505187782522328,0.011993104164026807
10.2,True,True,True,0.02770711264628811,0.006437965682226594,0.03610868111779782,0.03827655046290279,0.027132577477303826
10.3,True,True,True,0.03304721765834039,0.013108502331047725,0.0498196478708175,0.02319140329154377,0.02979169278793735
10.4,True,True,True,0.007074233068625035,0.010901854333060741,0.0069779262340544206,0.007440144088398369,0.008098539431034642
10.5,True,True,True,0.04220640303626606,0.013863538502378809,0.052383368067841524,0.04490510553636418,0.03833960378571265
10.6,True,True,True,0.0181642867572463,0.0014316703118460884,0.01169887176392512,0.0021891042711407985,0.008370983276039577
10.7,True,True,True,0.019193260081095422,0.008806484653682228,0.0050017763594338,0.0070757341335545496,0.0100193138069415
10.8,True,True,True,0.016687035078383455,0.026677975507231444,0.031227674612732195,0.03314855767954273,0.026935310719472458
10.9,True,False,False,0.05673592622003352,0.05736925044884491,0.0,0.0,0.057052588334439214
11.0,True,False,True,0.19095465223746513,0.11354386288799885,0.0,0.0,0.152249257562732
11.1,True,False,False,0.14675037714436184,0.0700573797802363,0.0,0.0,0.10840387846229907
11.2,True,False,False,0.047753347279849354,0.08107466622175562,0.0,0.0,0.06441400675080249
11.3,True,False,False,0.00970827801571957,0.044644060623650096,0.0,0.0,0.027176169319684834
11.4,True,False,False,0.05162510584620847,0.010819701870439784,0.0,0.0,0.031222403858324126
11.5,True,False,False,0.04214540709133789,0.01128256064247008,0.0,0.0,0.026713983866903986
11.6,True,False,False,0.04244005227909074,0.017663725371133622,0.0,0.0,0.030051888825112182
11.7,True,False,False,0.01849405468494137,0.03390703704322411,0.0,0.0,0.02620054586408274
11.8,True,False,False,0.05403168550639723,0.03523655514393487,0.0,0.0,0.044634120325166046
11.9,True,False,False,0.07971589033357299,0.021647901139712534,0.0,0.0,0.05068189573664276
12.0,True,False,False,0.005098519676142847,0.04323074395934871,0.0,0.0,0.024164631817745776
12.1,True,False,False,0.09772213312300093,0.1246948226262911,0.0,0.0,0.11120847787464602
12.2,True,False,True,0.13758809604736624,0.12709996117233613,0.0,0.0,0.13234402860985117
12.3,True,False,True,0.04265619306377241,0.054542033762597884,0.0,0.08522017103564229,0.06080613262067086
12.4,True,True,True,0.01876242871168106,0.02489087386107184,0.0,0.06866071054373607,0.03743800437216299
12.5,True,True,True,0.007742954307602769,0.048056300248032806,0.10792187878213211,0.0963830027177817,0.06502603401388735
12.6,True,True,True,0.00554985889942046,0.004997963948451279,0.005201416973408544,0.015262252548884128,0.007752873092541103
12.7,True,True,True,0.011339616207209666,0.029784447774305178,0.0685049172434899,0.06619969623792055,0.043957169365731324
12.8,True,True,True,0.012404824431263213,0.03211161665625323,0.09856962914027366,0.06470112575557173,0.051946798995840454
12.9,True,True,True,0.006926071709476413,0.0111205080010259,0.038124632803062136,0.002345471025251912,0.01462917088470409
13.0,True,True,True,0.009135310420536806,0.002997254152968172,0.059801505536048814,0.05716858114229018,0.032275662812960994
13.1,True,True,True,0.007354161339793893,0.01526367214201363,0.06547481392392104,0.029235763850025857,0.029332102813938606
13.2,True,True,True,0.0045171412505665256,0.0070451661109872735,0.022233577207473508,0.0305045728041896,0.016075114343304227
13.3,True,True,True,0.012289541304482156,0.008195483015706653,0.08653505932766778,0.06502979373746658,0.04301246934633079
13.4,True,True,True,0.012975833226287911,0.012273971208587411,0.057954538365054833,0.07843103983212349,0.04040884565801341
13.5,True,True,True,0.0023489383016288656,0.0018930777127790035,0.025069771126392245,0.0025751354717897176,0.007971730653147458
13.6,True,True,True,0.008599439589796995,0.011564557172727042,0.039248229677932935,0.010932982956435341,0.01758630234922308
13.7,True,True,True,0.031984747454268415,0.04828690230679411,0.09965997324997061,0.07564444966714164,0.0638940181695437
13.8,True,True,False,0.09764458172808343,0.0942631871011568,0.14794094905366345,0.0,0.1132829059609679
13.9,True,False,False,0.08452785213347452,0.077685374258091,0.0,0.0,0.08110661319578276
14.0,True,False,False,0.11210042463637032,0.10712129889799386,0.0,0.0,0.1096108617671821
14.1,True,False,False,0.060792600290498745,0.06848374670361156,0.0,0.0,0.06463817349705515
14.2,True,False,False,0.046294035598458835,0.0300297310975209,0.0,0.0,0.03816188334798987
14.3,True,False,False,0.05198710112317152,0.0384234231675726,0.0,0.0,0.04520526214537206
